model,method,method_label,answer_count,citation_presence_rate,mean_citation_count,citation_parse_success_rate,answer_all_citations_resolved_rate,unresolved_citation_rate,ambiguous_citation_rate,citation_existence_rate,all_citations_exist_given_citation,answer_all_citations_exist_joint,gold_citation_match_rate,answer_any_gold_citation_rate,answer_all_citations_gold_rate,evidence_marker_presence_rate,mean_evidence_marker_count,marker_visible_consistency_rate,marker_gold_match_rate,any_attribution_presence_rate,visible_evidence_consistency_rate,all_citations_visible_given_citation,answer_all_citations_visible_joint,gold_evidence_visible_rate,full_gold_recall_in_visible_evidence,semantic_review_required_count,quality_bertscore_f1,quality_bleu,quality_meteor,quality_rouge_l,quality_metric_note
qwen25_7b,direct,Direct,309,0.05177993527508091,0.05177993527508091,0.5625,0.5625,0.4375,0.0,0.5625,0.5625,0.02912621359223301,0.2222222222222222,0.006472491909385114,0.125,0.0,0.0,,,0.05177993527508091,,,,,,309,,0.12265323910312917,0.3755299169306625,0.2496210210512361,BLEU/METEOR/ROUGE-L are deterministic lexical similarity proxies; BERTScore unavailable in the frozen analysis environment.
qwen25_7b,bm25,BM25 encoding-fixed,309,0.5048543689320388,0.7572815533980582,0.9017094017094017,0.8782051282051282,0.09829059829059829,0.0,0.9017094017094017,0.8782051282051282,0.44336569579288027,0.4218009478672986,0.2621359223300971,0.40384615384615385,0.11003236245954692,0.19093851132686085,1.0,0.3728813559322034,0.5566343042071198,0.957345971563981,0.8333333333333334,0.42071197411003236,0.5760517799352751,0.4723418226162,309,,0.1840041171972657,0.4402278817686039,0.30876738301228573,BLEU/METEOR/ROUGE-L are deterministic lexical similarity proxies; BERTScore unavailable in the frozen analysis environment.
qwen25_7b,dense,Dense CLS,309,0.5016181229773463,0.8705501618122977,0.9144981412639405,0.8903225806451613,0.08550185873605948,0.0,0.9144981412639405,0.8903225806451613,0.44660194174757284,0.3983739837398374,0.2783171521035599,0.41935483870967744,0.1553398058252427,0.343042071197411,0.9811320754716981,0.3490566037735849,0.5792880258899676,0.943089430894309,0.832258064516129,0.4174757281553398,0.7152103559870551,0.596074292950612,309,,0.19664533834718984,0.46529873406657285,0.31757886227206333,BLEU/METEOR/ROUGE-L are deterministic lexical similarity proxies; BERTScore unavailable in the frozen analysis environment.
qwen25_7b,hybrid,Hybrid CLS,309,0.5663430420711975,0.8932038834951457,0.9130434782608695,0.8971428571428571,0.08695652173913043,0.0,0.9130434782608695,0.8971428571428571,0.5080906148867314,0.4007936507936508,0.313915857605178,0.41714285714285715,0.14563106796116504,0.2750809061488673,0.9882352941176471,0.3058823529411765,0.6213592233009708,0.9682539682539683,0.8742857142857143,0.49514563106796117,0.7055016181229773,0.5844988508981754,309,,0.19258036717702026,0.4630106656325779,0.3166124903094294,BLEU/METEOR/ROUGE-L are deterministic lexical similarity proxies; BERTScore unavailable in the frozen analysis environment.
qwen3_4b,direct,Direct,309,0.627831715210356,0.9546925566343042,0.6,0.5154639175257731,0.4,0.0,0.6,0.5154639175257731,0.32362459546925565,0.22598870056497175,0.12297734627831715,0.13402061855670103,0.0,0.0,,,0.627831715210356,,,,,,309,,0.13452178395178144,0.43490734143288146,0.2504599359757099,BLEU/METEOR/ROUGE-L are deterministic lexical similarity proxies; BERTScore unavailable in the frozen analysis environment.
qwen3_4b,bm25,BM25 encoding-fixed,309,0.45307443365695793,0.7831715210355987,0.8057851239669421,0.7714285714285715,0.19421487603305784,0.0,0.8057851239669421,0.7714285714285715,0.34951456310679613,0.37948717948717947,0.22330097087378642,0.35,0.22006472491909385,0.5760517799352751,1.0,0.2640449438202247,0.5501618122977346,0.9230769230769231,0.7,0.31715210355987056,0.5760517799352751,0.4723418226162,309,,0.1785771673430472,0.4661665724733407,0.29529681497296456,BLEU/METEOR/ROUGE-L are deterministic lexical similarity proxies; BERTScore unavailable in the frozen analysis environment.
qwen3_4b,dense,Dense CLS,309,0.4045307443365696,0.7508090614886731,0.7629310344827587,0.712,0.23706896551724138,0.0,0.7629310344827587,0.712,0.28802588996763756,0.3728813559322034,0.19741100323624594,0.296,0.1779935275080906,0.44983818770226536,1.0,0.22302158273381295,0.5307443365695793,0.9378531073446328,0.64,0.2588996763754045,0.7152103559870551,0.596074292950612,309,,0.1919148386975991,0.49126811427438033,0.3111391290124184,BLEU/METEOR/ROUGE-L are deterministic lexical similarity proxies; BERTScore unavailable in the frozen analysis environment.
qwen3_4b,hybrid,Hybrid CLS,309,0.4401294498381877,0.8576051779935275,0.7471698113207547,0.7205882352941176,0.2528301886792453,0.0,0.7471698113207547,0.7205882352941176,0.31715210355987056,0.42424242424242425,0.23624595469255663,0.33088235294117646,0.19741100323624594,0.4110032362459547,0.9921259842519685,0.30708661417322836,0.5469255663430421,0.9494949494949495,0.6838235294117647,0.30097087378640774,0.7055016181229773,0.5844988508981754,309,,0.1806319192812309,0.48328695574978525,0.30104391472473263,BLEU/METEOR/ROUGE-L are deterministic lexical similarity proxies; BERTScore unavailable in the frozen analysis environment.
