model,retriever,retriever_label,A_count,B_count,C_count,D_count,A_rate,B_rate,C_rate,D_rate,total,interpretation
qwen25_7b,bm25,BM25 encoding-fixed,80,98,1,130,0.2588996763754045,0.31715210355987056,0.003236245954692557,0.42071197411003236,309,A=gold evidence visible and gold citation present; B=visible but not explicitly cited; C=gold citation present without gold evidence visible (manual review required); D=neither.
qwen25_7b,dense,Dense CLS,85,136,1,87,0.2750809061488673,0.4401294498381877,0.003236245954692557,0.2815533980582524,309,A=gold evidence visible and gold citation present; B=visible but not explicitly cited; C=gold citation present without gold evidence visible (manual review required); D=neither.
qwen25_7b,hybrid,Hybrid CLS,97,121,0,91,0.313915857605178,0.39158576051779936,0.0,0.29449838187702265,309,A=gold evidence visible and gold citation present; B=visible but not explicitly cited; C=gold citation present without gold evidence visible (manual review required); D=neither.
qwen3_4b,bm25,BM25 encoding-fixed,65,113,4,127,0.21035598705501618,0.3656957928802589,0.012944983818770227,0.4110032362459547,309,A=gold evidence visible and gold citation present; B=visible but not explicitly cited; C=gold citation present without gold evidence visible (manual review required); D=neither.
qwen3_4b,dense,Dense CLS,61,160,0,88,0.19741100323624594,0.517799352750809,0.0,0.284789644012945,309,A=gold evidence visible and gold citation present; B=visible but not explicitly cited; C=gold citation present without gold evidence visible (manual review required); D=neither.
qwen3_4b,hybrid,Hybrid CLS,72,146,1,90,0.23300970873786409,0.47249190938511326,0.003236245954692557,0.2912621359223301,309,A=gold evidence visible and gold citation present; B=visible but not explicitly cited; C=gold citation present without gold evidence visible (manual review required); D=neither.
