model,method,method_label,parser_version,answer_count,citation_count,high_confidence_resolved_count,unresolved_or_uncertain_count,citation_presence_rate,mean_citation_count,citation_parse_success_rate_high_confidence,answer_all_citations_resolved_rate,unresolved_citation_rate,ambiguous_citation_rate,malformed_citation_rate,medium_confidence_resolution_count,low_confidence_resolution_count,citation_existence_rate_high_confidence,all_citations_exist_given_citation,answer_all_citations_exist_joint,gold_citation_match_rate_high_confidence,answer_any_gold_citation_rate,answer_all_citations_gold_rate,evidence_marker_presence_rate,mean_evidence_marker_count,marker_visible_consistency_rate,marker_gold_match_rate,any_attribution_presence_rate,visible_evidence_consistency_rate,all_citations_visible_given_citation,answer_all_citations_visible_joint,gold_evidence_visible_rate,full_gold_recall_in_visible_evidence,semantic_review_required_count,quality_bertscore_f1,quality_bleu,quality_meteor,quality_rouge_l,quality_metric_note
qwen25_7b,direct,Direct,citation_parser_v2,309,16,13,3,0.05177993527508091,0.05177993527508091,0.8125,0.8125,0.1875,0.0,0.0,0,0,0.8125,0.8125,0.042071197411003236,0.38461538461538464,0.016181229773462782,0.3125,0.0,0.0,,,0.05177993527508091,,,,,,309,,0.12265323910312917,0.3755299169306625,0.2496210210512361,BLEU/METEOR/ROUGE-L are deterministic lexical similarity proxies; BERTScore unavailable in the frozen analysis environment.
qwen25_7b,bm25,BM25 encoding-fixed,citation_parser_v2,309,234,233,1,0.5048543689320388,0.7572815533980582,0.9957264957264957,0.9935897435897436,0.004273504273504274,0.0,0.0,0,0,0.9957264957264957,0.9935897435897436,0.5016181229773463,0.3905579399141631,0.2686084142394822,0.41025641025641024,0.11003236245954692,0.19093851132686085,1.0,0.3728813559322034,0.5566343042071198,0.927038626609442,0.9166666666666666,0.4627831715210356,0.5760517799352751,0.4723418226162,309,,0.1840041171972657,0.4402278817686039,0.30876738301228573,BLEU/METEOR/ROUGE-L are deterministic lexical similarity proxies; BERTScore unavailable in the frozen analysis environment.
qwen25_7b,dense,Dense CLS,citation_parser_v2,309,269,264,5,0.5016181229773463,0.8705501618122977,0.9814126394052045,0.9806451612903225,0.01858736059479554,0.01858736059479554,0.0,0,0,0.9814126394052045,0.9806451612903225,0.4919093851132686,0.38636363636363635,0.284789644012945,0.43870967741935485,0.1553398058252427,0.343042071197411,0.9811320754716981,0.3490566037735849,0.5792880258899676,0.9356060606060606,0.9032258064516129,0.45307443365695793,0.7152103559870551,0.596074292950612,309,,0.19664533834718984,0.46529873406657285,0.31757886227206333,BLEU/METEOR/ROUGE-L are deterministic lexical similarity proxies; BERTScore unavailable in the frozen analysis environment.
qwen25_7b,hybrid,Hybrid CLS,citation_parser_v2,309,276,271,5,0.5663430420711975,0.8932038834951457,0.9818840579710145,0.9828571428571429,0.018115942028985508,0.007246376811594203,0.0,0,0,0.9818840579710145,0.9828571428571429,0.5566343042071198,0.39114391143911437,0.3300970873786408,0.42857142857142855,0.14563106796116504,0.2750809061488673,0.9882352941176471,0.3058823529411765,0.6213592233009708,0.9446494464944649,0.9314285714285714,0.5275080906148867,0.7055016181229773,0.5844988508981754,309,,0.19258036717702026,0.4630106656325779,0.3166124903094294,BLEU/METEOR/ROUGE-L are deterministic lexical similarity proxies; BERTScore unavailable in the frozen analysis environment.
qwen3_4b,direct,Direct,citation_parser_v2,309,295,293,2,0.627831715210356,0.9546925566343042,0.9932203389830508,0.9896907216494846,0.006779661016949152,0.006779661016949152,0.0,0,0,0.9932203389830508,0.9896907216494846,0.6213592233009708,0.20136518771331058,0.1779935275080906,0.17525773195876287,0.0,0.0,,,0.627831715210356,,,,,,309,,0.13452178395178144,0.43490734143288146,0.2504599359757099,BLEU/METEOR/ROUGE-L are deterministic lexical similarity proxies; BERTScore unavailable in the frozen analysis environment.
qwen3_4b,bm25,BM25 encoding-fixed,citation_parser_v2,309,242,225,17,0.45307443365695793,0.7831715210355987,0.9297520661157025,0.9214285714285714,0.07024793388429752,0.024793388429752067,0.0,0,0,0.9297520661157025,0.9214285714285714,0.4174757281553398,0.36,0.23948220064724918,0.37142857142857144,0.22006472491909385,0.5760517799352751,1.0,0.2640449438202247,0.5501618122977346,0.9022222222222223,0.7857142857142857,0.3559870550161812,0.5760517799352751,0.4723418226162,309,,0.1785771673430472,0.4661665724733407,0.29529681497296456,BLEU/METEOR/ROUGE-L are deterministic lexical similarity proxies; BERTScore unavailable in the frozen analysis environment.
qwen3_4b,dense,Dense CLS,citation_parser_v2,309,232,210,22,0.4045307443365696,0.7508090614886731,0.9051724137931034,0.896,0.09482758620689655,0.004310344827586207,0.0,0,0,0.9051724137931034,0.896,0.36245954692556637,0.34285714285714286,0.2168284789644013,0.312,0.1779935275080906,0.44983818770226536,1.0,0.22302158273381295,0.5307443365695793,0.9,0.776,0.313915857605178,0.7152103559870551,0.596074292950612,309,,0.1919148386975991,0.49126811427438033,0.3111391290124184,BLEU/METEOR/ROUGE-L are deterministic lexical similarity proxies; BERTScore unavailable in the frozen analysis environment.
qwen3_4b,hybrid,Hybrid CLS,citation_parser_v2,309,265,240,25,0.4401294498381877,0.8576051779935275,0.9056603773584906,0.9044117647058824,0.09433962264150944,0.018867924528301886,0.0,0,0,0.9056603773584906,0.9044117647058824,0.39805825242718446,0.375,0.255663430420712,0.35294117647058826,0.19741100323624594,0.4110032362459547,0.9921259842519685,0.30708661417322836,0.5469255663430421,0.9208333333333333,0.8161764705882353,0.3592233009708738,0.7055016181229773,0.5844988508981754,309,,0.1806319192812309,0.48328695574978525,0.30104391472473263,BLEU/METEOR/ROUGE-L are deterministic lexical similarity proxies; BERTScore unavailable in the frozen analysis environment.
