model,retriever,retriever_label,A_count,B_count,C_count,D_count,A_rate,B_rate,C_rate,D_rate,total,interpretation
qwen25_7b,bm25,BM25 encoding-fixed,82,96,1,130,0.26537216828478966,0.3106796116504854,0.003236245954692557,0.42071197411003236,309,A=gold evidence visible and gold citation present; B=visible but not explicitly cited; C=gold citation present without gold evidence visible (manual review required); D=neither.
qwen25_7b,dense,Dense CLS,87,134,1,87,0.2815533980582524,0.4336569579288026,0.003236245954692557,0.2815533980582524,309,A=gold evidence visible and gold citation present; B=visible but not explicitly cited; C=gold citation present without gold evidence visible (manual review required); D=neither.
qwen25_7b,hybrid,Hybrid CLS,101,117,1,90,0.3268608414239482,0.3786407766990291,0.003236245954692557,0.2912621359223301,309,A=gold evidence visible and gold citation present; B=visible but not explicitly cited; C=gold citation present without gold evidence visible (manual review required); D=neither.
qwen3_4b,bm25,BM25 encoding-fixed,69,109,5,126,0.22330097087378642,0.35275080906148865,0.016181229773462782,0.4077669902912621,309,A=gold evidence visible and gold citation present; B=visible but not explicitly cited; C=gold citation present without gold evidence visible (manual review required); D=neither.
qwen3_4b,dense,Dense CLS,67,154,0,88,0.2168284789644013,0.49838187702265374,0.0,0.284789644012945,309,A=gold evidence visible and gold citation present; B=visible but not explicitly cited; C=gold citation present without gold evidence visible (manual review required); D=neither.
qwen3_4b,hybrid,Hybrid CLS,78,140,1,90,0.2524271844660194,0.45307443365695793,0.003236245954692557,0.2912621359223301,309,A=gold evidence visible and gold citation present; B=visible but not explicitly cited; C=gold citation present without gold evidence visible (manual review required); D=neither.
